AgeBand,Gender,SmokingStatus,BMIBand,ExerciseFreq,PredictedProbability
70-74,M,never,under,no,0.15940101
70-74,M,never,under,yes,0.09501929
75-79,F,current,normal,no,0.22327580
75-79,F,current,normal,yes,0.13730936
75-79,F,current,obese,no,0.44563506
75-79,F,current,obese,yes,0.30800453
75-79,F,current,over,no,0.29546853
75-79,F,current,over,yes,0.18845008
75-79,F,current,under,no,0.15895558
75-79,F,current,under,yes,0.09473349
75-79,F,former,normal,no,0.22401505
75-79,F,former,normal,yes,0.13781449
75-79,F,former,obese,no,0.44668715
75-79,F,former,obese,yes,0.30891275
75-79,F,former,over,no,0.29635562
75-79,F,former,over,yes,0.18910210
75-79,F,former,under,no,0.15952561
75-79,F,former,under,yes,0.09509926
75-79,F,never,normal,no,0.20454322
75-79,F,never,normal,yes,0.12463197
75-79,F,never,obese,no,0.41829356
75-79,F,never,obese,yes,0.28476955
75-79,F,never,over,no,0.27280642
75-79,F,never,over,yes,0.17199235
75-79,F,never,under,no,0.14461467
75-79,F,never,under,yes,0.08559698
75-79,M,current,normal,no,0.26814346
75-79,M,current,normal,yes,0.16865292
75-79,M,current,obese,no,0.50607280
75-79,M,current,obese,yes,0.36196405
75-79,M,current,over,no,0.34833739
75-79,M,current,over,yes,0.22837714
75-79,M,current,under,no,0.19412842
75-79,M,current,under,yes,0.11768406
75-79,M,former,normal,no,0.26897983
75-79,M,former,normal,yes,0.16925073
75-79,M,former,obese,no,0.50713703
75-79,M,former,obese,yes,0.36294793
75-79,M,former,over,no,0.34930450
75-79,M,former,over,yes,0.22912830
75-79,M,former,under,no,0.19479538
75-79,M,former,under,yes,0.11812688
75-79,M,never,normal,no,0.24684285
75-79,M,never,normal,yes,0.15359690
75-79,M,never,obese,no,0.47822198
75-79,M,never,obese,yes,0.33663874
75-79,M,never,over,no,0.32348211
75-79,M,never,over,yes,0.20933191
75-79,M,never,under,no,0.17728312
75-79,M,never,under,yes,0.10659473
80-99,F,current,normal,no,0.19932715
80-99,F,current,normal,yes,0.12114337
80-99,F,current,obese,no,0.41043915
80-99,F,current,obese,yes,0.27822318
80-99,F,current,over,no,0.26643262
80-99,F,current,over,yes,0.16743164
80-99,F,current,under,no,0.14065660
80-99,F,current,under,yes,0.08309729
80-99,F,former,normal,no,0.20000753
